[2026-03-27T13:57:17.472Z] GET http://127.0.0.1:4273/images/spots/yisheng-temple.png → 200 (38ms, 80658B)
[2026-03-27T13:57:17.472Z] GET http://127.0.0.1:4273/images/spots/erqi-tower.png → 200 (39ms, 27694B)
[2026-03-27T13:57:17.472Z] GET http://127.0.0.1:4273/images/spots/luoyang-museum.png → 200 (39ms, 81731B)
[2026-03-27T13:57:17.472Z] GET http://127.0.0.1:4273/images/spots/iron-pagoda-park.png → 200 (40ms, 110402B)
[2026-03-27T13:57:17.472Z] GET http://127.0.0.1:4273/images/spots/wolonggang-wuhou-temple.png → 200 (40ms, 67716B)
[2026-03-27T14:04:42.501Z] GET http://127.0.0.1:4273/src/views/RouteDetail.vue?t=1774620282487 → 200 (10ms, 14904B)
[2026-03-27T14:04:42.501Z] GET http://127.0.0.1:4273/src/views/SmartRecommend.vue?t=1774620282487 → 200 (12ms, 24162B)
[2026-03-27T14:04:42.502Z] GET http://127.0.0.1:4273/src/components/RouteDemoCanvas.vue?t=1774620282487 → pending (?ms, ?B)
[2026-03-27T14:04:42.512Z] GET http://127.0.0.1:4273/src/utils/demo-visual.ts?t=1774620282487 → pending (?ms, ?B)
[2026-03-27T14:05:24.649Z] GET http://127.0.0.1:4273/src/views/RouteDetail.vue?t=1774620324637 → 200 (8ms, 14904B)
[2026-03-27T14:05:24.650Z] GET http://127.0.0.1:4273/src/views/SmartRecommend.vue?t=1774620324637 → 200 (10ms, 24162B)
[2026-03-27T14:05:24.650Z] GET http://127.0.0.1:4273/src/components/RouteDemoCanvas.vue?t=1774620324637 → 200 (80ms, 60856B)
[2026-03-27T14:05:24.658Z] GET http://127.0.0.1:4273/src/utils/demo-visual.ts?t=1774620324637 → 200 (79ms, 51456B)
[2026-03-27T14:07:04.933Z] GET http://127.0.0.1:4273/recommend → 200 (9ms, 435B)
[2026-03-27T14:07:04.955Z] GET http://127.0.0.1:4273/@vite/client → 200 (10ms, 179008B)
[2026-03-27T14:07:04.960Z] GET http://127.0.0.1:4273/src/main.ts?t=1774620324637 → 200 (4ms, 739B)
[2026-03-27T14:07:04.965Z] GET http://127.0.0.1:4273/node_modules/.vite/deps/vue.js?v=23f29226 → 200 (4ms, 23452B)
[2026-03-27T14:07:04.965Z] GET http://127.0.0.1:4273/src/style.css → 200 (9ms, 22806B)
[2026-03-27T14:07:04.965Z] GET http://127.0.0.1:4273/src/App.vue → 200 (10ms, 1803B)
